title,released,rating_x,ratings_count_x,metacritic_score,genres,platforms,developer,publisher,rating_y,user score,ratings_count_y
"999: NINE HOURS, NINE PERSONS, NINE DOORS",2010-11-16,MATURE,162.0,,,,,,,,
99BULLETS,2011-05-23,,,,VERTICAL SHOOT-'EM-UP,DS,ENJOYUP GAMES,ENJOYUP GAMES,RATED E FOR EVERYONE,0.0,0.0
99VIDAS,2016-12-22,,94.0,69.0,,,,,,,
99VIDAS,2017-07-18,,,,2D BEAT-'EM-UP,PC,QUBYTE INTERACTIVE,QUBYTE INTERACTIVE,RATED T FOR TEEN,6.4,43.0
9DRAGONS,2017-02-14,,7.0,,,,,,,,
9MM,2011-07-14,,,,THIRD PERSON SHOOTER,IOS (IPHONE/IPAD),GAMELOFT,GAMELOFT,,6.0,6.0
A BASTARD'S TALE,2016-10-04,,,,2D BEAT-'EM-UP,PC,NO PEST PRODUCTIONS,NO PEST PRODUCTIONS,RATED T FOR TEEN,5.5,6.0
A BIRD STORY,2014-11-05,,245.0,66.0,,,,,,,
A BIRD STORY,2014-11-07,,,,ADVENTURE,PC,FREEBIRD GAMES,FREEBIRD GAMES,,7.0,167.0
A BLIND LEGEND,2016-04-07,,10.0,,,,,,,,
A BOY AND HIS BLOB,2009-10-13,EVERYONE,41.0,72.0,,,,,,,
A BOY AND HIS BLOB,2009-10-13,,,,2D PLATFORMER,WII,WAYFORWARD,MAJESCO,RATED E FOR EVERYONE,7.8,35.0
A CASE OF DISTRUST,2018-02-08,TEEN,16.0,77.0,,,,,,,
A CASE OF DISTRUST,2018-02-08,,,,ADVENTURE,PC,THE WANDERING BEN,SERENITY FORGE,,5.8,13.0
A CITY SLEEPS,2014-10-16,,6.0,,,,,,,,
A CITY SLEEPS,2014-10-16,,,,HORIZONTAL SHOOT-'EM-UP,PC,HARMONIX MUSIC SYSTEMS,HARMONIX MUSIC SYSTEMS,,6.2,6.0
A DANCE OF FIRE AND ICE,2019-01-03,EVERYONE,60.0,,,,,,,,
A DATE IN THE PARK,2014-11-14,,30.0,,,,,,,,
A DEAD WORLD'S DREAM,2016-09-20,,0.0,,,,,,,,
A DETECTIVE'S NOVEL,2016-07-28,,26.0,,,,,,,,
A FISHERMAN'S TALE,2019-01-22,TEEN,26.0,74.0,,,,,,,
A FISHERMAN'S TALE,2019-01-22,,,,ADVENTURE,PLAYSTATION 4,INNERSPACE VR,VERTIGO GAMES,,6.0,15.0
A FISTFUL OF GUN,2015-09-23,,26.0,60.0,,,,,,,
