title,released,rating,ratings_count,genres,platforms
A MUSICAL STORY,2022-03-03,RATED M FOR MATURE,0,RHYTHM,XBOX ONE
A NEW BEGINNING,2012-12-11,,94,POINT-AND-CLICK,IOS (IPHONE/IPAD)
A NEW BEGINNING  FINAL CUT,2012-12-11,,126,ACTION,PC
A NORMAL LOST PHONE,2017-01-25,,68,ADVENTURE,NINTENDO SWITCH
A NORMAL LOST PHONE,2018-03-01,RATED M FOR MATURE,15,SIMULATION,PC
A PIXEL STORY,2015-03-30,,6,2D PLATFORMER,PC
A PLAGUE TALE INNOCENCE,2019-05-13,RATED M FOR MATURE,1420,ACTION,PC
A PLAGUE TALE INNOCENCE,2019-05-14,RATED M FOR MATURE,1586,LINEAR ACTION ADVENTURE,PLAYSTATION 4
A PLAGUE TALE REQUIEM,2022-10-17,RATED M FOR MATURE,353,ACTION,XBOX SERIES S/X
A PLAGUE TALE REQUIEM,2022-10-18,RATED M FOR MATURE,826,LINEAR ACTION ADVENTURE,XBOX SERIES X
A QUIET WEEKEND IN CAPRI,2004-03-17,RATED E FOR EVERYONE,5,THIRD-PERSON ADVENTURE,PC
A RAVEN MONOLOGUE,2017-12-22,,32,CASUAL,PC
A ROBOT NAMED FIGHT!,2017-09-07,,10,ACTION,NINTENDO SWITCH
A ROBOT NAMED FIGHT!,2018-04-26,RATED T FOR TEEN,31,METROIDVANIA,PC
A ROSE IN THE TWILIGHT,2017-04-11,RATED T FOR TEEN,17,2D PLATFORMER,PLAYSTATION VITA
A SHORT HIKE,2019-07-29,RATED E FOR EVERYONE,424,ADVENTURE,PC
A SHORT HIKE,2020-08-18,RATED E FOR EVERYONE,253,ADVENTURE,PC
A SIRIUS GAME,2012-01-18,,5,ACTION,PC
A SPACE FOR THE UNBOUND,2023-01-19,,21,ADVENTURE,NINTENDO SWITCH
A SPACE FOR THE UNBOUND,2023-01-19,RATED T FOR TEEN,41,ADVENTURE,PC
A SPACE FOR THE UNBOUND  PROLOGUE,2015-04-05,,6,ADVENTURE,PC
A SPACE SHOOTER FOR 2 BUCKS,2010-12-21,RATED T FOR TEEN,10,VERTICAL SHOOT-'EM-UP,IOS (IPHONE/IPAD)
A STEP INTO DARKNESS,2017-08-01,,8,ACTION,PC
A STORY ABOUT MY UNCLE,2012-07-30,,186,3D PLATFORMER,PC
A STORY ABOUT MY UNCLE,2014-05-27,,628,ADVENTURE,PC
A TOTAL WAR SAGA THRONES OF BRITANNIA,2018-05-02,,174,REAL-TIME STRATEGY,PC
A TOTAL WAR SAGA TROY,2020-08-13,RATED T FOR TEEN,282,REAL-TIME STRATEGY,PC
A TRIP TO YUGOSLAVIA DIRECTORS CUT,2017-02-22,,9,ACTION,MACOS
A VALLEY WITHOUT WIND,2012-04-23,,41,ACTION,PC
A VALLEY WITHOUT WIND,2012-04-24,RATED T FOR TEEN,63,ACTION ADVENTURE,PC
A VALLEY WITHOUT WIND 2,2013-02-18,,33,ACTION,MACOS
A VAMPYRE STORY,2008-11-21,,28,ADVENTURE,MACOS
A VAMPYRE STORY,,RATED T FOR TEEN,0,POINT-AND-CLICK,PC
A VIRUS NAMED TOM,2012-08-01,,70,ACTION,PS VITA
A VIRUS NAMED TOM,2012-08-01,,62,ACTION PUZZLE,PC
A WAY OUT,2018-03-23,RATED M FOR MATURE,1512,ACTION,PC
A WAY OUT,2018-03-23,RATED M FOR MATURE,1118,LINEAR ACTION ADVENTURE,PC
A WILD CATGIRL APPEARS!,2016-01-04,,4,ADVENTURE,PC
A WITCH'S TALE,2009-10-13,RATED E +10 FOR EVERYONE +10,8,RPG,DS
A WIZARDS LIZARD,2014-01-22,,14,ACTION,LINUX
A WORLD OF KEFLINGS,2010-12-22,RATED E +10 FOR EVERYONE +10,36,MANAGEMENT,XBOX 360
A WORLD OF KEFLINGS,2010-12-22,,34,STRATEGY,WII U
A YEAR OF RAIN,2019-11-06,,6,ACTION,PC
AAAAAA!!!  A RECKLESS DISREGARD FOR GRAVITY,2009-09-03,,41,ACTION,PC
AAAAAAAAAAAAAAAAAAAAAAAAA!!!,2012-03-01,,12,3D PLATFORMER,IOS (IPHONE/IPAD)
AAAAAAAAAAAAAAAAAAAAAAAAA!!! A RECKLESS DISREGARD FOR GRAVITY,2009-09-03,,57,3D PLATFORMER,PC
AAAAAAAAAAAAAAAAAAAAAAAAA!!! FOR THE AWESOME,2011-11-23,,73,ACTION,PC
AAERO,2017-04-11,,44,ACTION,XBOX ONE
AAERO,2017-04-11,RATED E +10 FOR EVERYONE +10,18,RAIL SHOOTER,PLAYSTATION 4
AAERO COMPLETE EDITION,2018-12-24,RATED E +10 FOR EVERYONE +10,7,RAIL SHOOTER,NINTENDO SWITCH
AARKLASH LEGACY,2013-09-11,,25,ACTION,PC
AARKLASH LEGACY,2013-09-12,,112,REAL-TIME TACTICS,PC
AARU'S AWAKENING,2015-02-23,RATED E FOR EVERYONE,116,2D PLATFORMER,PC
AARUS AWAKENING,2015-02-23,RATED E FOR EVERYONE,80,ACTION,XBOX ONE
ABALONE,2013-03-21,,8,STRATEGY,ANDROID
ABANDON SHIP,2019-10-21,RATED T FOR TEEN,10,ACTION,IOS
ABANDONED,2018-12-28,,13,ACTION,PC
ABANDONED KNIGHT,2016-04-27,,8,ACTION,PC
ABBOTS BOOK DEMO,2016-04-04,,6,ADVENTURE,PC
