title,released,developer,publisher,genres,rating,user score,ratings_count,platforms
WORLD OF WARRIORS,2018-03-21,MIND CANDY,SONY INTERACTIVE ENTERTAINMENT,3D BEAT-'EM-UP,RATED T FOR TEEN,2.9,10,IOS (IPHONE/IPAD)
HUNTERS EPISODE ONE,2011-02-26,RODEO GAMES,RODEO GAMES,ACTION,,0.0,0,IOS (IPHONE/IPAD)
MEN IN BLACK  THE SERIES CRASHDOWN,2001-11-01,RUNECRAFT,INFOGRAMES,FPS,RATED T FOR TEEN,6.4,7,PLAYSTATION
TUMBLE VR,2016-10-10,SUPERMASSIVE GAMES,SONY INTERACTIVE ENTERTAINMENT,STACKING PUZZLE,RATED E FOR EVERYONE,7.8,41,PLAYSTATION 4
SNIPER ELITE NAZI ZOMBIE ARMY,2013-02-28,REBELLION,REBELLION,TACTICAL THIRD PERSON SHOOTER,,7.3,263,PC
GROUND DIVERS!,2022-06-30,ARC SYSTEM WORKS,ARC SYSTEM WORKS,ACTION PUZZLE,RATED E FOR EVERYONE,0.0,0,NINTENDO SWITCH
DISNEY'S HERBIE FULLY LOADED,2005-07-12,CLIMAX STUDIOS,BUENA VISTA INTERACTIVE,AUTO RACING,RATED E FOR EVERYONE,0.0,0,GAME BOY ADVANCE
DEAD SPACE 3 AWAKENED,2013-03-12,VISCERAL GAMES,ELECTRONIC ARTS,LINEAR ACTION ADVENTURE,RATED M FOR MATURE,5.2,55,PLAYSTATION 3
RED MATTER 2,2022-08-18,VERTICAL ROBOT,VERTICAL ROBOT,FIRST-PERSON ADVENTURE,,7.6,29,PC
STAR TREK STARFLEET COMMAND III,2002-11-06,TALDREN,ACTIVISION,SPACE SIM,RATED E FOR EVERYONE,7.2,18,PC
PIXELJUNK MONSTERS ULTIMATE HD,2013-07-30,DOUBLE ELEVEN,DOUBLE ELEVEN,DEFENSE,RATED E FOR EVERYONE,7.6,46,PC
THE SUM OF ALL FEARS,2002-05-28,RED STORM ENTERTAINMENT,UBISOFT,TOP-DOWN SHOOT-'EM-UP,RATED T FOR TEEN,7.0,11,PC
DINO CRISIS 3,2003-09-16,CAPCOM,CAPCOM,SURVIVAL,RATED M FOR MATURE,3.1,38,XBOX
TWISTED METAL BLACK,2001-06-18,INCOGNITO INC.,SCEA,VEHICLE COMBAT SIM,RATED M FOR MATURE,8.5,133,PLAYSTATION 2
CRASH BANDICOOT THE WRATH OF CORTEX,2001-11-01,TRAVELLER'S TALES,UNIVERSAL INTERACTIVE,3D PLATFORMER,RATED E FOR EVERYONE,7.4,328,PLAYSTATION 2
STRUGGLING,2020-08-27,CHASING RATS GAMES,CHASING RATS GAMES,2D PLATFORMER,RATED T FOR TEEN,7.3,14,PC
RAYMAN 3 HOODLUM HAVOC,2003-03-04,UBISOFT SHANGHAI,UBISOFT,3D PLATFORMER,RATED E FOR EVERYONE,8.5,48,XBOX 360
PUNCH KING,2002-05-30,FULL FAT,ACCLAIM,COMBAT SPORT,RATED E FOR EVERYONE,0.0,0,GAME BOY ADVANCE
THE LEGEND OF ZELDA PHANTOM HOURGLASS,2007-10-01,NINTENDO,NINTENDO,OPEN-WORLD ACTION,RATED E FOR EVERYONE,7.9,497,DS
MUTANT MUDDS,2012-01-26,RENEGADE KID,RENEGADE KID,2D PLATFORMER,RATED E FOR EVERYONE,6.8,83,3DS
SOL CRESTA,2022-02-22,PLATINUMGAMES,PLATINUMGAMES,VERTICAL SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,8.1,10,NINTENDO SWITCH
MAD MAESTRO!,2002-03-12,DESERT PRODUCTIONS,EIDOS INTERACTIVE,RHYTHM,RATED E FOR EVERYONE,8.6,5,PLAYSTATION 2
THE STING!,2001-07-01,NEO SOFTWARE,JOWOOD ENTERTAINMENT AG,STRATEGY,RATED E FOR EVERYONE,7.8,10,PC
BUBBLE BOBBLE 4 FRIENDS,2020-03-31,TAITO CORPORATION,TAITO CORPORATION,ACTION PUZZLE,RATED E FOR EVERYONE,6.6,15,NINTENDO SWITCH
MASTER REBOOT,2013-10-29,WALES INTERACTIVE,WALES INTERACTIVE,PUZZLE,RATED T FOR TEEN,6.0,42,PC
BEIJING 2008 THE OFFICIAL VIDEO GAME OF THE OLYMPIC GAMES,2008-07-08,EUROCOM,SEGA,ATHLETICS,RATED E FOR EVERYONE,5.2,9,XBOX 360
VOICE OF CARDS THE ISLE DRAGON ROARS,2021-10-28,A-LIM,SQUARE ENIX,CARD BATTLE,RATED T FOR TEEN,7.5,31,PLAYSTATION 4
SAMURAI WARRIORS CHRONICLES,2011-03-27,OMEGA FORCE,KOEI TECMO GAMES,3D BEAT-'EM-UP,RATED T FOR TEEN,7.7,41,3DS
POKEMON DIAMOND VERSION,2007-04-22,GAME FREAK,NINTENDO,TRAINER RPG,RATED E FOR EVERYONE,8.2,591,DS
ALLSTAR FRUIT RACING,2018-08-21,3DCLOUDS,PQUBE,AUTO RACING,RATED E FOR EVERYONE,3.3,12,PC
POKEMON RUMBLE,2009-11-16,AMBRELLA,NINTENDO,3D BEAT-'EM-UP,RATED E +10 FOR EVERYONE +10,8.2,46,WII
FIGHTER WITHIN,2013-11-19,UBISOFT,UBISOFT,SPORTS,RATED T FOR TEEN,2.8,214,XBOX ONE
CHRIS SAWYER'S LOCOMOTION,2004-09-09,CHRIS SAWYER,ATARI SA,TYCOON,RATED E FOR EVERYONE,7.0,8,PC
UFC TAPOUT 2,2003-03-20,DREAMFACTORY,TDK MEDIACTIVE,COMBAT SPORT,RATED T FOR TEEN,0.0,0,XBOX
EVERQUEST II ECHOES OF FAYDWER,2006-11-13,SONY ONLINE ENTERTAINMENT,SONY ONLINE ENTERTAINMENT,MMORPG,RATED T FOR TEEN,7.6,10,PC
WRC WORLD RALLY CHAMPIONSHIP,2002-03-21,EVOLUTION STUDIOS,BAM ENTERTAINMENT,AUTO RACING SIM,RATED E FOR EVERYONE,8.5,14,PLAYSTATION 2
JOJO'S BIZARRE ADVENTURE EYES OF HEAVEN,2016-06-28,CYBERCONNECT2,BANDAI NAMCO GAMES,3D FIGHTING,RATED T FOR TEEN,7.8,180,PLAYSTATION 4
ASTRO DUEL,2017-05-30,PANIC BUTTON,PANIC BUTTON,TOP-DOWN SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,6.4,15,IOS (IPHONE/IPAD)
SPY VS SPY,2005-04-06,VICIOUS CYCLE,GLOBAL STAR SOFTWARE,ACTION,RATED T FOR TEEN,7.3,11,PLAYSTATION 2
RESIDENT EVIL OUTBREAK FILE 2,2005-04-26,CAPCOM,CAPCOM,SURVIVAL,RATED M FOR MATURE,8.2,105,PLAYSTATION 2
SBK X SUPERBIKE WORLD CHAMPIONSHIP,2010-12-07,MILESTONE S.R.L,SOUTHPEAK GAMES,AUTO RACING SIM,RATED E +10 FOR EVERYONE +10,7.8,9,PLAYSTATION 3
CHUCHEL,2018-03-07,AMANITA DESIGN,AMANITA DESIGN,ADVENTURE,,6.8,92,PC
SHIN MEGAMI TENSEI DEVIL SURVIVOR,2009-06-23,ATLUS,ATLUS,TURN-BASED TACTICS,RATED T FOR TEEN,4.9,265,DS
TROVER SAVES THE UNIVERSE,2019-05-31,SQUANCH GAMES,GEARBOX PUBLISHING,3D PLATFORMER,RATED M FOR MATURE,8.1,98,PLAYSTATION 4
RTYPE FINAL 3 EVOLVED,2023-04-25,GRANZELLA INC.,NIS AMERICA,HORIZONTAL SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,0.0,0,PLAYSTATION 5
TAPPINGO,2014-02-27,GOODBYE GALAXY GAMES,CIRCLE ENTERTAINMENT,PUZZLE,RATED E FOR EVERYONE,6.4,5,3DS
XMEN LEGENDS II RISE OF APOCALYPSE,2005-09-20,RAVEN SOFTWARE,ACTIVISION,ACTION RPG,RATED T FOR TEEN,4.8,17,XBOX
HEARTHSTONE HEROES OF WARCRAFT  JOURNEY TO UN'GORO,2017-04-06,BLIZZARD ENTERTAINMENT,BLIZZARD ENTERTAINMENT,CARD BATTLE,,3.7,65,PC
MARIO PARTY 3,2001-05-06,HUDSON,NINTENDO,PARTY,RATED E FOR EVERYONE,8.2,118,NINTENDO 64
JOUST,2005-11-22,DIGITAL ECLIPSE,MIDWAY,2D PLATFORMER,RATED E FOR EVERYONE,7.0,5,PLAYSTATION 3
UNCANNY XMEN DAYS OF FUTURE PAST,2014-05-22,,,2D PLATFORMER,,0.0,0,IOS (IPHONE/IPAD)
MADE IN ABYSS BINARY STAR FALLING INTO DARKNESS,2022-09-02,CHIME,SPIKE CHUNSOFT,ACTION RPG,RATED M FOR MATURE,7.0,12,NINTENDO SWITCH
SOCOM US NAVY SEALS CONFRONTATION,2008-10-14,SLANT SIX,SCEA,THIRD PERSON SHOOTER,RATED M FOR MATURE,5.5,27,PLAYSTATION 3
